workday,price1986,price1987,price1988,price1989,price1990,price1991,price1992,price1993,price1994,price1995,price1996,price1997,price1998,price1999,price2000,price2001,price2002,price2003,price2004,price2005,price2006,price2007,price2008,price2009,price2010,price2011,price2012,price2013,price2014,price2015,price2016,price2017,price2018
1,-2.364489875,-1.422642125,-0.650949963,-2.034798873,0.878748217,-2.546949089,-1.862173166,-1.646766929,-0.42869285,-1.717742941,-1.609021035,-1.910121674,-1.371142454,-2.018115774,1.776448651,0.688071931,0.986954727,-0.563350493,0.382840738,0.927253917,-1.137856563,-1.338916561,1.164648626,0.146966017,-0.18411314,-0.584863041,-1.778161789,-2.231317419,-0.608533234,0.443317209,-0.825418662,-1.413338008,-0.442232702
2,-2.258289849,-1.243869171,-0.422117736,-1.850957513,0.875924813,-2.843962366,-1.376662052,-1.656691334,-0.117620376,-1.667530713,-1.561215327,-1.716926793,-1.342309441,-1.820671934,0.75950408,1.15949094,1.100461726,-0.57157822,0.927539429,0.426783506,-1.071612416,-1.327175907,1.17290501,0.066301233,-0.210091623,-0.543204268,-1.712286842,-2.260923678,-0.556714528,-0.154029057,-0.815107713,-1.367649634,-0.305484984
3,-2.273196639,-1.229611128,-0.333400552,-1.779401315,0.784147792,-2.903316589,-1.400018262,-1.677302408,0.05239011,-1.685158708,-1.619406067,-1.673019795,-1.492138135,-1.45699438,1.112232303,1.107030804,1.201164122,-0.328971205,0.90558376,0.259619842,-1.067565765,-1.484482815,1.006907209,0.127647261,-0.206479662,-0.478543562,-1.720802124,-2.199656268,-0.637933917,-0.38841333,-1.082568808,-1.400078407,-0.094201247
4,-2.105424294,-1.151943627,-0.134987605,-1.758535568,0.630646578,-3.249847046,-1.321603459,-1.953648116,0.110045073,-1.641966089,-1.597572776,-1.609356551,-1.500273565,-1.468210519,1.481614543,0.713026606,1.129097522,-0.375522861,0.866503465,0.386703071,-0.911447641,-1.436004084,1.024578877,-0.114344199,-0.134289355,-0.530704646,-1.895446409,-2.270802438,-0.446440761,-0.004630871,-1.498806317,-1.351280121,0.211722339
5,-2.467449487,-1.118227924,-2.114630467,-1.729769092,0.772650631,-3.356718632,-1.336621668,-2.085714435,0.302502744,-1.657838703,-1.550772708,-1.706677279,-1.705605206,-1.3039958,2.243233416,0.649047981,1.075642841,-0.580584751,1.123836563,0.290718101,-0.805039299,-1.449114077,0.87030595,-0.141206138,-0.109638799,-0.57668661,-1.792844151,-2.348264736,-0.569831756,0.578310438,-1.676635492,-1.409086072,0.193886856
6,-2.545039635,-1.103360467,-1.638378555,-1.764545337,0.581900191,-3.669570373,-1.243188656,-2.001359801,0.81230052,-1.643720832,-1.745136047,-1.561799688,-2.163226721,-1.340445593,2.383624297,0.572261649,1.010738557,-0.325288094,0.58185657,0.377319588,-0.805687397,-1.400482989,0.964932096,-0.282496624,-0.009993357,-0.652765645,-1.574369864,-2.262112131,-0.602363329,0.270929541,-1.621350613,-1.433179394,0.336359577
7,-2.588556303,-1.089102425,-1.871857217,-1.690986784,0.478624369,-3.441910451,-1.410030401,-1.987236394,0.639101974,-1.656057743,-2.024699085,-1.413251808,-2.025651454,-1.566340716,2.210767749,0.622172534,0.980586103,-0.312994059,0.688547639,0.048521281,-0.741223539,-1.261936228,1.041143461,-0.405967747,-0.08990688,-0.582559063,-1.615133143,-2.149342819,-0.616310986,0.096904544,-1.496556429,-1.358482411,0.313256551
8,-2.523743569,-1.07480422,-1.925651365,-1.602570901,0.546062668,-3.420072507,-1.641938792,-1.994870264,0.61995691,-1.66399437,-1.932191661,-1.403002292,-1.850800023,-1.76098318,2.323948782,0.630481028,0.888241613,-0.311454374,0.453170211,0.360831616,-0.905274917,-1.18374077,0.881454533,-0.431025023,0.026512923,-0.412168313,-1.547601002,-2.125296773,-0.940370481,0.047939658,-1.883518466,-1.406348462,0.598199287
9,-2.537539329,-0.985153196,-2.04703799,-1.581705154,0.065591651,-3.560700921,-0.630880269,-1.96204612,0.549310465,-1.534442731,-1.943639919,-1.302012203,-1.742470074,-2.116650073,2.412554786,0.49803993,0.777756706,-0.231507985,0.904406714,-0.207116609,-0.910313472,-1.133303713,0.992652846,-0.675995044,0.091305091,-0.460169493,-1.700891348,-2.098902475,-0.730639714,-0.288448341,-1.642056417,-1.410334468,0.914823078
10,-2.461152893,-0.840054788,-1.48432249,-1.589662933,-0.067804308,-3.507264153,-0.425664105,-1.937616241,0.831556854,-1.471892952,-1.993518701,-1.369345738,-1.933798515,-1.774999174,2.810052763,0.698315025,0.815382444,-0.40009715,0.967226077,0.057553002,-1.038895402,-1.14365273,0.813390234,-0.663815976,-0.128219139,-0.347039641,-1.513001747,-2.060382138,-0.535095131,-0.480230414,-2.056766033,-1.454934004,0.900506511
11,-2.328379692,-0.81608874,-1.374623292,-1.645304925,0.08852031,-3.360718284,-0.574151623,-1.908609033,0.866767411,-1.476293877,-1.865687555,-1.296155337,-1.806726905,-1.752177986,2.35115587,0.590813237,0.571812039,-0.435821398,1.156583796,0.416686606,-1.122782393,-1.161195892,0.790775223,-0.596040955,0.123678865,-0.243962058,-1.209677349,-2.09343914,-0.652570651,-0.136145218,-2.027130081,-1.471612292,1.347866091
12,-2.374026875,-0.711001508,-1.762159737,-1.511151486,-0.13665595,-2.443997092,-0.317216971,-2.052888421,0.866767411,-1.480694162,-1.927014595,-1.167364631,-1.560410389,-1.78221682,2.149341216,0.738628196,0.730187923,-0.592680297,0.865001444,-0.033918581,-1.070480223,-1.16576098,0.592158829,-0.923558425,-0.14236102,-0.269735936,-1.068690589,-1.97497044,-0.577393951,-0.129546614,-2.291545749,-1.526317195,1.212268787
13,-2.444116717,-0.702999271,-2.567648486,-1.509147779,-0.087909564,-2.257853101,-0.50074289,-2.159762596,1.027205365,-1.603199973,-1.761761371,-1.146885098,-1.722493518,-1.893958909,1.758885981,0.595927101,0.640303095,-0.79570903,1.250370951,-0.381434308,-1.502096623,-1.33389255,0.553393129,-0.648423374,-0.606368117,-0.274813844,-0.766555577,-1.899966916,-0.657221048,-0.059148586,-2.16856639,-1.454570565,1.286983459
14,-2.58003878,-0.74524481,-2.56525393,-1.530013526,-0.010453109,-2.398401442,-1.011280266,-2.07579003,1.113689193,-1.636675003,-1.588224279,-1.070767192,-1.853271828,-2.117054176,1.47723147,0.58121552,0.573571186,-0.970973834,1.248583588,-0.779578222,-1.458838163,-1.22613086,0.470498176,-0.75226084,-1.078270529,-0.174814869,-0.803062741,-1.812627223,-0.731581455,0.409046014,-1.944934598,-1.47529691,1.485000889
15,-2.692626943,-0.535640584,-2.224470626,-1.624439178,-0.531198659,-2.606303312,-0.470710559,-2.046780951,1.370297556,-1.641966089,-1.488469527,-1.135172294,-1.915468153,-1.988479523,0.788464946,0.693829637,0.593297867,-0.899355797,1.025828685,-0.903262783,-1.411390787,-1.058761068,0.663957016,-0.796872324,-1.026315689,0.046797053,-0.906603668,-1.718845869,-1.049995809,0.1541617,-2.165872119,-1.389925763,1.479749587
16,-2.609759687,-0.714982293,-1.619791098,-1.412776821,-0.431217353,-2.479593609,-0.956221672,-1.776542714,1.351041223,-1.654303001,-1.566392392,-1.314448295,-1.890260385,-1.799842397,0.849891479,0.689361154,0.668146321,-1.235940034,1.570523411,-0.431710738,-1.416407608,-1.285568031,0.734124905,-0.758936842,-1.031907852,0.040008586,-0.646424379,-1.654573898,-1.625777456,0.165158202,-1.866737535,-1.272075612,1.536999616
17,-2.436709094,-0.691584509,-1.983950972,-1.360139713,-0.50396759,-2.287530212,-0.854446573,-1.724632026,1.152204652,-1.63138392,-1.420930287,-1.427152117,-1.679902676,-1.993286223,0.858660385,0.819253001,0.71873832,-1.43559511,1.194772388,-0.243847926,-1.214622396,-1.315134261,0.623191989,-0.701051839,-0.940812128,0.056831402,-0.722254713,-1.555859986,-1.700374624,-0.36034285,-2.103034786,-1.247567143,1.731955592
18,-2.365600904,-0.516223586,-2.117025024,-1.220032202,-0.796176701,-2.156822808,-0.724309194,-1.782650183,1.296460271,-1.634029463,-1.495746354,-1.495208011,-1.473149093,-1.867124036,0.844602517,0.709833514,0.748247513,-1.295462526,0.620330508,-0.402078954,-1.016862101,-1.307979133,0.737540947,-0.503119101,-1.192538032,0.065782462,-0.954475752,-1.575491973,-1.536310328,-0.713410459,-1.970254122,-1.252961104,2.042291354
19,-2.191439282,-0.463660132,-1.850875203,-1.043146091,-0.808346885,-2.196418979,-0.198757697,-1.668904403,1.504983436,-1.666639912,-1.337771363,-1.503973812,-1.354625215,-1.746561562,0.02684607,0.77625075,0.463719435,-1.264593039,0.790451257,-0.606023485,-1.031612222,-1.246089414,0.79992448,-0.726414866,-1.308131337,-0.272977833,-0.975578971,-1.474207403,-1.879655188,-0.306909646,-1.549507515,-1.345735466,1.796665719
20,-2.168107652,-0.477389585,-1.454045874,-1.036190841,-0.847680828,-2.131143398,-0.984583951,-1.640659459,1.722962291,-1.734506354,-1.242186635,-1.342989841,-1.49162326,-1.766986997,0.597170216,1.057922032,0.629969377,-1.498307932,0.700278464,-0.287728326,-1.102549139,-1.058911565,0.775679172,-0.872507356,-1.050966247,-0.133849082,-1.040732339,-1.535684941,-1.680960278,-0.761040837,-1.56766821,-1.426703981,1.29414851
21,-2.230697189,-0.485391822,-1.645419547,-0.93486699,-0.915857814,-1.727178471,-0.652570514,-1.471187927,2.098191029,-1.703650647,-1.022914099,-1.18493523,-1.077087351,-1.878340174,0.88145402,1.067615019,0.810611308,-1.344906774,0.74536288,0.026811457,-0.922291401,-0.959997635,0.909964523,-0.935726901,-0.808771664,0.168411993,-0.779143517,-1.605322007,-1.951918324,-0.407526043,-1.881259255,-1.406394262,1.394627049
22,-2.056536706,-0.398544409,-1.528679357,-0.957736444,-0.597829335,-1.541036424,-1.011280266,-1.497906471,1.934676296,-1.693959276,-0.982385218,-1.205414763,-0.968818742,-1.734148306,0.774409838,1.219094813,0.795965606,-1.26584946,0.769712269,0.254343493,-1.128609333,-0.998409767,0.970031516,-0.796083628,-0.865991463,0.172101942,-0.813739713,-1.396843346,-2.541831382,0.142985623,-1.687019988,-1.410954974,1.446349676
23,-1.840987792,-0.443105626,-1.927904961,-0.982552556,-0.626606707,-1.586632081,-0.832756328,-1.153618201,2.066057263,-1.633164879,-0.954310232,-1.218591785,-1.031922133,-1.831079867,0.803370706,1.031014316,0.542866402,-1.402100442,0.629948991,0.235621121,-1.246691313,-0.982713449,0.900129025,-0.916093245,-1.449877345,0.213475953,-0.322745856,-1.578076279,-2.41076688,0.154918744,-1.602247286,-1.269843271,0.523679509
24,-1.850617483,-0.350570667,-1.941986944,-0.996463054,-0.516070471,-1.253940262,-0.187079592,-0.826125941,1.976265754,-1.48158496,-1.043681359,-1.166642273,-1.057583435,-1.83148397,0.662979825,1.191117609,0.540957948,-1.441777279,0.730631974,0.85978105,-1.237284036,-0.974019903,0.660695788,-0.811161328,-1.428010123,0.274426799,-0.376286642,-1.439444813,-2.419830912,0.536866692,-1.826706729,-1.284246375,-1.105058114
25,-1.85163583,-0.308893389,-2.126319626,-1.053106224,-0.382807471,-1.125230733,-0.440678227,-0.632224529,0.879642064,-1.457775081,-0.947033405,-1.331277037,-0.908804604,-1.851909403,0.4989198,1.177853524,0.504125902,-1.520651954,1.126230282,0.857903364,-1.335435074,-0.972953415,0.618617045,-0.596662091,-1.653933896,0.41610446,-0.272745718,-1.429357291,-2.079145189,0.427630559,-2.015430043,-1.255601204,-0.319219578
26,-1.781545987,-0.368280905,-2.334169824,-0.908048523,-0.491797406,-0.784701706,-0.474046576,-0.667341078,1.277317987,-1.458665879,-0.797399871,-1.281532669,-0.927278769,-2.09782586,0.645444772,1.161016802,0.471996515,-1.612497467,1.069415041,0.90290344,-1.115175165,-1.028585416,0.648964595,-0.606246836,-1.327038879,0.561944016,-0.254742855,-1.488696704,-1.779620422,0.256221765,-2.02886929,-1.282794097,-0.346133859
27,-1.663678447,-0.409430584,-2.0702736,-0.929915448,-0.264672668,-0.947087992,-0.977911917,-0.842155945,1.274013086,-1.463956326,-0.703885407,-1.124200418,-0.690250121,-2.028943001,-0.085459454,1.056898646,0.608564378,-1.53362348,1.210719968,0.595874406,-1.065139357,-1.136651816,0.606989484,-0.982932228,-1.371117523,0.575686231,-0.234361215,-1.420344968,-1.765670999,0.507803255,-2.134559111,-1.193490131,-1.777625504
28,-1.54368266,-0.485391822,-1.400251741,-1.042144913,-0.235895296,-0.786701533,-0.649230409,-0.858951954,1.569020078,-1.471002791,-0.567742303,-1.217869425,-0.651244299,-1.739359108,-0.242507114,0.900965732,0.770124011,-1.642308335,1.71333432,1.029634912,-0.992906245,-1.190457411,0.644441467,-0.93298572,-1.140908268,0.554072259,-0.513732755,-1.450705781,-1.416518444,0.495870132,-2.404576708,-1.120140531,-1.319665872
29,-1.576645111,-0.428847583,-1.407292732,-1.247853198,-0.210144873,-0.214430906,-0.540783274,-0.780322723,1.152204652,-1.454264957,-0.561500608,-1.119807769,-0.537869176,-1.877143058,-0.860230306,1.161095169,0.74593716,-1.76220035,1.536274157,1.265029454,-1.046988704,-0.995823441,0.730760045,-0.939661721,-1.238924083,0.643732213,-0.285770887,-1.384393927,-1.472296699,0.694613487,-2.071870941,-1.012129816,-0.750930817
30,-1.510812891,-0.453951139,-1.101432465,-1.267717768,-0.405534227,-0.434251661,-0.120342894,-1.011400102,1.14582296,-1.41460868,-0.393141988,-0.922961169,-0.536839425,-1.842700109,-0.592603284,1.092727966,0.890701275,-1.773915455,1.267535209,1.240272722,-0.771676167,-0.830278195,0.846474535,-1.020867711,-0.869777647,0.633395182,-0.272494999,-1.43440037,-1.357137542,0.779289713,-1.835786042,-0.942349597,-0.696631261
31,-1.370633206,-0.382579606,-0.781631176,-1.274673017,-0.372183597,-0.158996263,-0.622538182,-1.644476394,1.251565913,-1.40402651,-0.390035186,-0.807328915,-0.478348793,-2.000692247,-0.031923553,0.922931685,0.90486425,-1.549587532,1.62072421,1.474607042,-0.709802718,-0.786234491,0.733070266,-1.314541969,-0.781813703,0.54866777,-0.57722893,-1.447702583,-1.1277221,0.830184181,-1.562735446,-0.861072306,-0.345938965
32,-1.191194476,-0.162657469,-0.851759185,-1.148477356,-0.370704598,-0.414413543,-0.634216287,-1.62386532,1.527430621,-1.330895202,-0.452397355,-0.870992159,-0.370102309,-1.840211684,-0.475036417,1.073372725,0.791114763,-1.362776479,1.446668085,1.462226198,-0.584943389,-0.781362835,0.714453909,-1.31155426,-0.599796476,0.674135948,-0.191717544,-1.436007714,-1.171125211,0.798219328,-1.605588969,-0.855088865,0.07936785
33,-1.058512827,-0.162089209,-1.05707388,-1.106745862,-0.2010673,0.044905954,-0.989590021,-1.700204017,1.629982722,-1.327358859,-0.533455117,-0.721721919,-0.525552394,-1.775931954,-0.607506281,0.929871053,0.609598311,-1.420012188,1.417206278,1.053222423,-0.595787148,-0.745081823,0.707342525,-1.399988532,-0.579238058,0.735248091,-0.048352011,-1.36068354,-1.333671769,0.718750859,-1.628330238,-0.85185042,0.105716397
34,-1.248506904,-0.135847153,-0.660244551,-1.032240477,-0.294929046,0.025147909,-0.896157009,-1.547679446,1.463277137,-1.416363422,-0.671669891,-0.811721564,-0.446549213,-1.445000419,-1.441952651,0.821393511,0.834947467,-1.540892524,1.231744302,1.210289187,-0.689387683,-0.836842483,0.765604185,-1.498876175,-0.620509998,0.884329544,0.001180326,-1.511764426,-1.166004828,0.997592967,-1.385775357,-0.76187424,-0.247179281
35,-1.11369701,-0.171797214,-0.298336555,-1.023282873,-0.555402773,-0.24018843,-0.056942213,-1.388818176,1.062413142,-1.389044056,-0.800506673,-0.98808863,-0.45425223,-1.457849681,-1.200654441,0.499928433,0.712530231,-1.395297301,1.19355571,0.327449418,-0.55157828,-0.936520047,0.673099953,-1.746282106,-0.840187206,0.520426627,-0.083419068,-1.577321728,-1.220157566,0.955047108,-1.586125162,-0.737215076,-0.478585794
